SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,4970,4970,0,0,0,-1032,-1032,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,51,19,32,0,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,415,230,185,0,0,6,-19,25,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,2099,951,1139,9,0,127,99,28,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,1250,777,463,10,0,67,13,52,2,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,1489,1065,416,8,0,102,74,28,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,1670,938,713,19,0,60,60,0,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,1681,944,669,68,0,70,54,16,0,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,2354,1131,1147,76,0,118,57,58,3,,
0,AP,Andhra Pradesh,AP_Other State,Other State,2143,757,1386,0,0,32,-8,40,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,673,366,305,2,0,57,19,38,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,685,305,374,6,0,27,27,0,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,93,33,54,6,0,0,-3,0,3,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,633,269,359,5,0,9,-36,43,2,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,197,131,63,3,0,13,5,7,1,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,1124,811,309,4,0,4,-37,41,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,1193,765,426,2,0,73,72,0,1,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,0,0,0,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,89,52,37,0,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,10,0,10,0,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,1,1,0,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,4,1,3,0,0,0,0,0,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,4,3,1,0,0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,3,1,2,0,0,0,0,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,3,3,0,0,0,0,0,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,0,0,0,0,0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,13,10,3,0,0,0,0,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,1,0,1,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,89,81,8,0,0,0,0,0,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,0,0,0,0,0,0,0,0,0,,
